,title,price,rating
0,PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,330.,4.4 out of 5 stars
1,Sony Playstation PS4 1TB Black Console,328.,4.6 out of 5 stars
2,Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),227.,4.4 out of 5 stars
3,"AceGamer Wireless Controller for PS4, White Crack Custom Design with RGB Light,1000mAh Battery and 3.5mm Audio Jack, V2 Gamepad Joystick Compatible with PS4/Slim/Pro and Windows PC! (White-Light Up)",24.,4.4 out of 5 stars
4,"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",159.,4.5 out of 5 stars
5,PlayStation 4 Slim 500GB Console [Discontinued],339.,4.6 out of 5 stars
6,PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],200.,4.7 out of 5 stars
7,N/A,N/A,2.8 out of 5 stars
8,PlayStation 4 Slim 1TB Gold Console [Discontinued],"1,199.",4.4 out of 5 stars
9,"BINNUNE Wireless Gaming Headset with Noise Cancelling Microphone for PC PS4 PS5 Playstation 4 5, 2.4G Wireless Bluetooth Gaming Headphones with Mic for Laptop Computer",39.,4.2 out of 5 stars
10,"Wireless Controller for PS4 with 2 Thumb Grips, 3.5mm Audio and Turbo Function, Purple Galaxy Custom Design V2 Gamepad Joysticks for PS4, Compatible with PS4, Slim, Pro and Windows PC",19.,4.2 out of 5 stars
11,Puning Wireless Controller Compatible with PS4/PS4 Slim/PS4 Pro with 6-Axis Motion Sensor/1000mAh Battery/3.5mm Audio Jack,16.,4.2 out of 5 stars
12,Sony PlayStation 4 500GB Console - Black,216.,4.5 out of 5 stars
13,PlayStation 4 Slim 1TB Limited Edition Console - Call of Duty WWII Bundle [Discontinued],282.,4.5 out of 5 stars
14,"PS4 Controller Charger Dock Station, OIVO 1.8Hrs PS4 Controller Charging Dock, Charging Station Replacement for Playstation 4 Dualshock 4 Charger",14.,4.7 out of 5 stars
15,"AceGamer Wireless Controller for PS4, White Crack Custom Design with RGB Light,1000mAh Battery and 3.5mm Audio Jack, V2 Gamepad Joystick Compatible with PS4/Slim/Pro and Windows PC! (White-Light Up)",24.,4.4 out of 5 stars
16,"PS4 Controller Wireless, with USB C Cable/1000mAh Battery/Dual Motors/6-Axis Gyro/3.5mm Audio Jack/Multi Touch Pad/Share Button, PS4 Controller Compatible with PS4/Slim/Pro/PC",18.,4.2 out of 5 stars
17,N/A,N/A,N/A
18,N/A,N/A,N/A
19,N/A,N/A,N/A
20,"CHENGDAO Controller for PS4, Wireless Controllers for PlayStation 4/Pro/Slim, Remote Control with Adjustable RGB Light/1000mAh Battery/6-Axis Motion Sensor/Double Vibration/3.5mm Audio Jack, Black",33.,4.3 out of 5 stars
